,avg_energy,avg_fourier,max_fourier,max_energy,avg_main_data,4,Label
569,23,23,191,45,30,6,
570,24,34,197,45,36,2,
571,24,24,192,44,31,6,
572,24,32,194,45,34,7,
573,25,26,202,45,33,3,
574,26,33,215,47,38,7,
575,35,47,285,98,41,6,
576,26,31,210,53,37,4,
577,26,24,215,53,38,0,
578,25,26,201,45,34,3,
579,24,28,197,44,34,4,
580,24,28,196,44,34,0,
581,38,69,307,117,50,7,
582,77,206,621,249,120,5,
583,79,129,636,249,75,1,
584,141,150,1132,247,209,6,
585,165,241,1321,313,254,5,
586,83,141,669,313,82,1,
587,51,68,412,109,78,3,
588,34,42,279,152,42,0,
589,25,23,206,44,34,1,
590,101,564,811,595,179,5,
591,111,322,895,595,84,1,
592,95,176,764,209,156,3,
593,35,48,283,190,41,0,
594,33,50,268,67,47,5,
595,30,36,244,67,40,1,
596,35,51,285,117,39,6,
597,51,98,415,117,79,2,
598,65,163,525,210,102,4,
599,46,53,373,210,55,0,
600,105,172,840,398,113,7,
601,118,321,950,398,193,3,
602,49,54,399,189,53,0,
603,46,75,375,133,59,6,
604,82,268,663,295,143,5,
605,130,479,1041,531,187,4,
606,73,140,587,531,77,0,
607,47,53,378,92,65,1,
608,62,157,500,304,55,6,
609,88,261,708,304,144,2,
610,47,56,381,117,59,1,
611,43,56,348,88,58,7,
612,242,638,1940,744,437,4,
613,187,304,1497,744,151,0,
614,168,294,1344,405,285,3,
615,70,103,562,229,79,0,
616,50,69,402,109,76,4,
617,41,75,333,109,53,0,
618,102,289,817,323,173,4,
619,122,439,978,491,172,4,
620,48,129,391,491,39,0,
621,31,24,249,72,39,7,
622,50,110,401,148,81,4,
623,45,55,366,148,56,0,
624,94,305,757,348,159,2,
625,30,30,245,83,39,7,
626,46,63,371,87,71,4,
627,46,39,371,87,58,0,
628,46,36,375,74,65,3,
629,41,35,329,71,58,0,
630,37,35,299,63,53,3,
631,35,34,280,64,47,4,
632,91,241,733,292,114,4,
633,107,253,856,292,158,0,
634,64,125,514,163,103,3,
635,42,42,341,135,50,0,
636,115,209,924,767,93,0,
637,132,225,1060,559,189,7,
638,211,554,1694,567,349,4,
639,165,165,1327,567,196,0,
640,120,183,962,265,174,3,
641,57,50,456,130,72,0,
642,69,146,558,179,107,5,
643,91,280,734,326,141,4,
644,46,84,373,326,42,0,
645,28,24,227,45,40,7,
646,48,98,384,128,63,5,
647,111,304,890,361,157,5,
648,45,40,364,81,66,4,
649,36,31,290,81,48,0,
650,26,27,212,52,36,0,
651,26,20,211,40,36,1,
652,26,21,211,42,35,6,
653,26,26,210,43,36,4,
654,26,27,209,43,36,0,
655,26,26,213,43,36,0,
656,27,29,220,46,39,7,
657,28,26,228,46,39,3,
658,28,21,227,44,38,1,
659,28,23,225,45,38,6,
660,26,28,212,45,36,3,
661,26,27,210,45,36,1,
662,25,27,206,44,35,1,
663,25,27,205,43,35,1,
664,25,25,205,43,35,1,
665,25,24,205,41,35,1,
666,25,21,204,40,34,1,
667,25,19,203,37,34,1,
668,25,20,206,40,35,6,
669,27,24,223,45,38,4,
670,28,25,230,45,39,0,
671,28,28,227,46,39,4,
672,26,27,213,44,36,5,
673,26,27,210,44,36,1,
674,25,27,206,44,35,1,
675,25,28,207,44,35,3,
676,25,26,206,44,35,1,
677,25,25,205,42,35,1,
678,25,23,204,41,35,1,
679,25,21,203,39,34,1,
680,25,19,204,37,34,1,
681,27,22,222,43,38,4,
682,28,24,226,43,38,0,
683,28,26,225,45,38,4,
684,26,28,211,45,36,5,
685,26,27,210,45,36,1,
686,25,26,205,43,35,1,
687,25,25,204,42,35,1,
688,25,23,203,41,34,1,
689,25,21,202,39,34,1,
690,25,19,202,37,34,1,
691,25,20,202,38,34,6,
692,25,22,201,41,34,6,
693,27,26,218,47,38,4,
694,27,28,223,47,38,0,
695,27,29,222,48,38,4,
696,26,26,208,43,35,1,
697,25,24,207,43,35,1,
698,25,22,203,40,34,1,
699,25,20,202,38,34,1,
700,25,18,202,37,34,6,
701,25,21,202,38,34,6,
702,25,22,202,39,34,4,
703,25,23,202,41,34,6,
704,25,26,204,45,34,6,
705,27,30,221,50,38,4,
706,27,28,223,50,38,0,
707,27,30,222,47,38,2,
708,26,22,208,43,35,0,
709,26,24,209,42,36,4,
710,25,24,205,42,35,0,
711,25,25,204,43,35,6,
712,25,27,206,43,35,2,
713,25,27,205,44,35,4,
714,25,27,205,44,35,0,
715,25,28,206,44,35,0,
716,25,27,207,45,35,6,
717,27,29,219,48,38,4,
718,27,26,220,48,37,0,
719,27,27,220,44,38,2,
720,25,27,207,44,35,1,
721,25,29,207,45,36,5,
722,25,27,205,45,35,1,
723,25,26,205,43,35,1,
724,25,26,205,43,35,3,
725,25,25,206,42,35,1,
726,70,169,567,545,47,7,
727,159,469,1279,545,285,3,
728,121,301,975,656,73,7,
729,259,561,2079,656,461,3,
730,111,143,892,368,138,0,
731,56,52,449,107,76,0,
732,110,441,881,494,196,3,
733,45,61,367,162,53,0,
734,75,191,603,234,124,4,
735,111,147,889,288,131,7,
736,168,201,1350,288,263,3,
737,86,114,694,264,100,1,
738,53,97,425,136,78,4,
739,33,35,266,136,38,0,
740,31,29,255,49,44,2,
741,119,489,959,528,166,5,
742,137,355,1103,528,163,1,
743,85,95,681,160,123,4,
744,167,455,1341,670,188,0,
